         849630 function calls (726458 primitive calls) in 3.189 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4410    0.032    0.000    0.690    0.000 /usr/local/lib/python3.10/dist-packages/transformers/models/gpt2/modeling_gpt2.py:353(forward)
    17640    0.082    0.000    0.583    0.000 /usr/local/lib/python3.10/dist-packages/transformers/pytorch_utils.py:106(forward)
    17640    0.422    0.000    0.422    0.000 {built-in method torch.addmm}
     4410    0.239    0.000    0.318    0.000 /usr/local/lib/python3.10/dist-packages/transformers/activations.py:55(forward)
        1    0.000    0.000    0.258    0.258 /root/TTS/tts/models/xtts.py:325(get_conditioning_latents)
      109    0.236    0.002    0.237    0.002 {built-in method torch.conv1d}
        1    0.000    0.000    0.206    0.206 /root/TTS/tts/models/xtts.py:316(get_speaker_embedding)
     9114    0.020    0.000    0.174    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/modules/normalization.py:195(forward)
     8823    0.167    0.000    0.167    0.000 {built-in method torch.matmul}
      107    0.000    0.000    0.150    0.001 /usr/local/lib/python3.10/dist-packages/torch/nn/modules/conv.py:309(forward)
     9114    0.020    0.000    0.148    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/functional.py:2528(layer_norm)
      107    0.000    0.000    0.146    0.001 /usr/local/lib/python3.10/dist-packages/torch/nn/modules/conv.py:301(_conv_forward)
        1    0.000    0.000    0.124    0.124 /root/TTS/tts/layers/xtts/hifigan_decoder.py:674(forward)
        1    0.000    0.000    0.124    0.124 /root/TTS/tts/layers/xtts/hifigan_decoder.py:266(forward)
     9114    0.117    0.000    0.117    0.000 {built-in method torch.layer_norm}
        1    0.000    0.000    0.113    0.113 /usr/local/lib/python3.10/dist-packages/torchaudio/functional/functional.py:1474(resample)
     9003    0.103    0.000    0.103    0.000 {built-in method torch.cat}
       12    0.001    0.000    0.100    0.008 /root/TTS/tts/layers/xtts/hifigan_decoder.py:105(forward)
  177/158    0.001    0.000    0.097    0.001 /usr/local/lib/python3.10/dist-packages/torch/nn/modules/container.py:213(forward)
        1    0.000    0.000    0.092    0.092 /root/TTS/tts/layers/xtts/hifigan_decoder.py:524(forward)
     8983    0.090    0.000    0.090    0.000 {method 'to' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.088    0.088 /usr/local/lib/python3.10/dist-packages/torchaudio/functional/functional.py:1444(_apply_sinc_resample_kernel)
      292    0.003    0.000    0.086    0.000 /usr/local/lib/python3.10/dist-packages/transformers/generation/logits_process.py:71(__call__)
    13381    0.011    0.000    0.079    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/modules/dropout.py:57(forward)
     8821    0.075    0.000    0.075    0.000 {built-in method torch.full}
   113792    0.075    0.000    0.075    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/modules/module.py:1682(__getattr__)
    53254    0.068    0.000    0.068    0.000 {method 'view' of 'torch._C._TensorBase' objects}
    13381    0.035    0.000    0.067    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/functional.py:1249(dropout)
    13230    0.021    0.000    0.059    0.000 /usr/local/lib/python3.10/dist-packages/transformers/models/gpt2/modeling_gpt2.py:274(_split_heads)
     4557    0.058    0.000    0.058    0.000 {built-in method torch.where}
     4422    0.017    0.000    0.057    0.000 /usr/local/lib/python3.10/dist-packages/torch/_tensor.py:849(split)
        1    0.000    0.000    0.049    0.049 /root/TTS/tts/models/xtts.py:257(get_gpt_cond_latents)
     4412    0.047    0.000    0.047    0.000 {built-in method torch.pow}
     4557    0.006    0.000    0.047    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/functional.py:1826(softmax)
     4707    0.041    0.000    0.041    0.000 {method 'softmax' of 'torch._C._TensorBase' objects}
        2    0.000    0.000    0.041    0.021 /root/TTS/tts/layers/xtts/gpt.py:353(get_style_emb)
       16    0.000    0.000    0.040    0.002 /root/TTS/tts/layers/xtts/hifigan_decoder.py:370(forward)
     4410    0.014    0.000    0.037    0.000 /usr/local/lib/python3.10/dist-packages/transformers/models/gpt2/modeling_gpt2.py:282(_merge_heads)
        2    0.000    0.000    0.037    0.018 /root/TTS/tts/layers/xtts/latent_encoder.py:135(forward)
       36    0.000    0.000    0.035    0.001 /usr/local/lib/python3.10/dist-packages/torch/nn/modules/conv.py:459(forward)
       36    0.000    0.000    0.034    0.001 /usr/local/lib/python3.10/dist-packages/torch/nn/modules/conv.py:451(_conv_forward)
       36    0.034    0.001    0.034    0.001 {built-in method torch.conv2d}
     4422    0.033    0.000    0.033    0.000 {built-in method torch.split}
    17658    0.032    0.000    0.032    0.000 {method 'permute' of 'torch._C._TensorBase' objects}
    66819    0.031    0.000    0.031    0.000 {method 'size' of 'torch._C._TensorBase' objects}
     4411    0.031    0.000    0.031    0.000 {built-in method torch.tanh}
      587    0.001    0.000    0.031    0.000 /usr/lib/python3.10/inspect.py:3252(signature)
      587    0.001    0.000    0.030    0.000 /usr/lib/python3.10/inspect.py:2998(from_callable)
    59292    0.030    0.000    0.030    0.000 {built-in method torch._C._get_tracing_state}
 1174/587    0.005    0.000    0.029    0.000 /usr/lib/python3.10/inspect.py:2375(_signature_from_callable)
      146    0.026    0.000    0.026    0.000 {built-in method torch.multinomial}
        1    0.015    0.015    0.025    0.025 /usr/local/lib/python3.10/dist-packages/torchaudio/functional/functional.py:1345(_get_sinc_resample_kernel)
      298    0.001    0.000    0.024    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/modules/sparse.py:161(forward)
      298    0.000    0.000    0.023    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/functional.py:2122(embedding)
      298    0.023    0.000    0.023    0.000 {built-in method torch.embedding}
       12    0.000    0.000    0.022    0.002 /root/TTS/tts/layers/xtts/latent_encoder.py:100(forward)
        1    0.001    0.001    0.021    0.021 /root/TTS/tts/layers/xtts/gpt.py:370(forward)
      146    0.005    0.000    0.020    0.000 /usr/local/lib/python3.10/dist-packages/transformers/generation/logits_process.py:445(__call__)
    13381    0.020    0.000    0.020    0.000 {built-in method torch.dropout}
        1    0.000    0.000    0.019    0.019 /root/TTS/tts/layers/xtts/gpt.py:561(compute_embeddings)
      146    0.003    0.000    0.019    0.000 /usr/local/lib/python3.10/dist-packages/transformers/generation/logits_process.py:505(__call__)
        1    0.000    0.000    0.017    0.017 /root/TTS/tts/layers/xtts/gpt.py:251(get_logits)
      587    0.006    0.000    0.016    0.000 /usr/lib/python3.10/inspect.py:2280(_signature_from_function)
    17838    0.009    0.000    0.014    0.000 /usr/local/lib/python3.10/dist-packages/torch/_VF.py:26(__getattr__)
        3    0.000    0.000    0.014    0.005 /usr/local/lib/python3.10/dist-packages/torch/nn/functional.py:4697(normalize)
        3    0.000    0.000    0.014    0.005 /usr/local/lib/python3.10/dist-packages/torch/_tensor.py:696(norm)
        3    0.000    0.000    0.014    0.005 /usr/local/lib/python3.10/dist-packages/torch/functional.py:1480(norm)
        3    0.013    0.004    0.013    0.004 {built-in method torch._C._linalg.linalg_vector_norm}
      146    0.006    0.000    0.013    0.000 /usr/local/lib/python3.10/dist-packages/transformers/generation/logits_process.py:330(__call__)
     4421    0.012    0.000    0.012    0.000 {method 'transpose' of 'torch._C._TensorBase' objects}
      146    0.011    0.000    0.011    0.000 {built-in method torch.topk}
      146    0.005    0.000    0.011    0.000 /root/TTS/tts/layers/xtts/gpt_inference.py:24(prepare_inputs_for_generation)
        3    0.000    0.000    0.010    0.003 /usr/local/lib/python3.10/dist-packages/torchaudio/transforms/_transforms.py:611(forward)
      299    0.001    0.000    0.010    0.000 /usr/local/lib/python3.10/dist-packages/torch/_tensor.py:34(wrapped)
      292    0.000    0.000    0.009    0.000 /usr/local/lib/python3.10/dist-packages/transformers/modeling_utils.py:862(dtype)
      292    0.001    0.000    0.009    0.000 /usr/local/lib/python3.10/dist-packages/transformers/modeling_utils.py:237(get_parameter_dtype)
     9164    0.005    0.000    0.008    0.000 /usr/local/lib/python3.10/dist-packages/torch/backends/__init__.py:36(__get__)
      604    0.001    0.000    0.008    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/modules/module.py:2170(parameters)
      199    0.000    0.000    0.008    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/modules/linear.py:113(forward)
      145    0.001    0.000    0.008    0.000 /root/TTS/tts/layers/xtts/gpt.py:39(get_fixed_embedding)
        2    0.000    0.000    0.007    0.004 /root/TTS/tts/models/xtts.py:21(wav_to_mel_cloning)
      199    0.007    0.000    0.007    0.000 {built-in method torch._C._nn.linear}
      604    0.000    0.000    0.007    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/modules/module.py:2195(named_parameters)
       16    0.000    0.000    0.006    0.000 /root/TTS/tts/layers/xtts/hifigan_decoder.py:349(forward)
        3    0.000    0.000    0.006    0.002 /usr/local/lib/python3.10/dist-packages/torchaudio/transforms/_transforms.py:100(forward)
        3    0.000    0.000    0.006    0.002 /usr/local/lib/python3.10/dist-packages/torchaudio/functional/functional.py:57(spectrogram)
      292    0.006    0.000    0.006    0.000 {method 'cumsum' of 'torch._C._TensorBase' objects}
      604    0.002    0.000    0.006    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/modules/module.py:2156(_named_members)
        4    0.000    0.000    0.006    0.002 /usr/local/lib/python3.10/dist-packages/torch/nn/modules/conv.py:786(forward)
      146    0.006    0.000    0.006    0.000 {built-in method torch.sort}
    22419    0.006    0.000    0.006    0.000 {built-in method builtins.getattr}
      292    0.006    0.000    0.006    0.000 {method 'masked_fill' of 'torch._C._TensorBase' objects}
      293    0.002    0.000    0.006    0.000 /usr/local/lib/python3.10/dist-packages/transformers/utils/generic.py:330(__post_init__)
        1    0.000    0.000    0.006    0.006 /root/TTS/tts/layers/xtts/hifigan_decoder.py:414(forward)
        4    0.006    0.001    0.006    0.001 {built-in method torch.conv_transpose1d}
      587    0.002    0.000    0.005    0.000 /usr/lib/python3.10/inspect.py:1959(_signature_bound_method)
     1174    0.004    0.000    0.005    0.000 /usr/lib/python3.10/inspect.py:2920(__init__)
     4434    0.005    0.000    0.005    0.000 {method 'type' of 'torch._C._TensorBase' objects}
       12    0.000    0.000    0.005    0.000 /root/TTS/tts/layers/xtts/latent_encoder.py:11(forward)
        6    0.005    0.001    0.005    0.001 {method 'pow' of 'torch._C._TensorBase' objects}
       12    0.000    0.000    0.005    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/modules/normalization.py:278(forward)
       12    0.000    0.000    0.005    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/functional.py:2546(group_norm)
     1786    0.003    0.000    0.005    0.000 /usr/lib/python3.10/inspect.py:2637(__init__)
    22516    0.005    0.000    0.005    0.000 {built-in method torch._C._has_torch_function_unary}
       12    0.005    0.000    0.005    0.000 {built-in method torch.group_norm}
        2    0.000    0.000    0.004    0.002 /root/TTS/tts/layers/xtts/perceiver_encoder.py:265(forward)
      292    0.000    0.000    0.004    0.000 /usr/local/lib/python3.10/dist-packages/torch/_tensor.py:907(__rsub__)
      146    0.001    0.000    0.004    0.000 /usr/local/lib/python3.10/dist-packages/transformers/generation/utils.py:849(_update_model_kwargs_for_generation)
      149    0.004    0.000    0.004    0.000 {built-in method torch.tensor}
17171/17116    0.003    0.000    0.004    0.000 {built-in method builtins.isinstance}
      146    0.004    0.000    0.004    0.000 {method 'prod' of 'torch._C._TensorBase' objects}
      146    0.000    0.000    0.004    0.000 <string>:2(__init__)
      146    0.004    0.000    0.004    0.000 {built-in method torch.gather}
        3    0.000    0.000    0.004    0.001 /usr/local/lib/python3.10/dist-packages/torchaudio/transforms/_transforms.py:402(forward)
       76    0.000    0.000    0.004    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/utils/parametrize.py:353(get_parametrized)
      292    0.004    0.000    0.004    0.000 {built-in method torch.rsub}
       12    0.001    0.000    0.004    0.000 /root/TTS/tts/layers/xtts/latent_encoder.py:48(forward)
5114/2711    0.003    0.000    0.004    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/modules/module.py:2335(named_modules)
        3    0.003    0.001    0.003    0.001 {method 'abs' of 'torch._C._TensorBase' objects}
     9164    0.003    0.000    0.003    0.000 {built-in method torch._C._get_cudnn_enabled}
      587    0.001    0.000    0.003    0.000 /usr/lib/python3.10/inspect.py:3014(replace)
        1    0.003    0.003    0.003    0.003 {built-in method torch.sqrt}
        1    0.003    0.003    0.003    0.003 {method 'clamp_' of 'torch._C._TensorBase' objects}
       76    0.000    0.000    0.003    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/utils/parametrize.py:261(forward)
     9465    0.003    0.000    0.003    0.000 {built-in method torch._C._has_torch_function_variadic}
      146    0.003    0.000    0.003    0.000 {method 'scatter' of 'torch._C._TensorBase' objects}
        1    0.001    0.001    0.003    0.003 /root/TTS/tts/models/xtts.py:69(load_audio)
        1    0.000    0.000    0.003    0.003 /usr/local/lib/python3.10/dist-packages/torch/nn/modules/instancenorm.py:70(forward)
       32    0.000    0.000    0.003    0.000 /usr/local/lib/python3.10/dist-packages/torch/functional.py:190(einsum)
      146    0.003    0.000    0.003    0.000 {method 'tile' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.003    0.003 /usr/local/lib/python3.10/dist-packages/torch/nn/modules/instancenorm.py:35(_apply_instance_norm)
        1    0.000    0.000    0.003    0.003 /usr/local/lib/python3.10/dist-packages/torch/nn/functional.py:2492(instance_norm)
        1    0.002    0.002    0.002    0.002 {built-in method torch.instance_norm}
        2    0.000    0.000    0.002    0.001 /usr/local/lib/python3.10/dist-packages/torchaudio/transforms/_transforms.py:556(__init__)
        1    0.000    0.000    0.002    0.002 /usr/local/lib/python3.10/dist-packages/torch/nn/modules/activation.py:1513(forward)
     4410    0.002    0.000    0.002    0.000 {method 'contiguous' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.002    0.002 /usr/local/lib/python3.10/dist-packages/transformers/generation/utils.py:693(_prepare_attention_mask_for_generation)
        1    0.000    0.000    0.002    0.002 /usr/local/lib/python3.10/dist-packages/torch/_tensor.py:1046(__contains__)
       37    0.000    0.000    0.002    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/modules/batchnorm.py:137(forward)
        2    0.002    0.001    0.002    0.001 {built-in method torch.ceil}
        3    0.002    0.001    0.002    0.001 {method 'any' of 'torch._C._TensorBase' objects}
      147    0.000    0.000    0.002    0.000 /root/TTS/tts/layers/xtts/gpt.py:17(null_position_embeddings)
        4    0.000    0.000    0.002    0.001 /root/TTS/tts/layers/xtts/perceiver_encoder.py:305(forward)
       16    0.000    0.000    0.002    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/modules/pooling.py:1193(forward)
       16    0.000    0.000    0.002    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/functional.py:1214(adaptive_avg_pool2d)
        3    0.000    0.000    0.002    0.001 /usr/local/lib/python3.10/dist-packages/torch/functional.py:507(stft)
        2    0.000    0.000    0.002    0.001 /usr/local/lib/python3.10/dist-packages/torchaudio/transforms/_transforms.py:378(__init__)
       16    0.002    0.000    0.002    0.000 {built-in method torch._C._nn.adaptive_avg_pool2d}
     1611    0.002    0.000    0.002    0.000 /usr/local/lib/python3.10/dist-packages/transformers/utils/generic.py:405(__setattr__)
        5    0.000    0.000    0.002    0.000 /usr/local/lib/python3.10/dist-packages/transformers/generation/configuration_utils.py:888(to_json_string)
        2    0.000    0.000    0.002    0.001 /usr/local/lib/python3.10/dist-packages/torchaudio/functional/functional.py:521(melscale_fbanks)
        3    0.002    0.001    0.002    0.001 {built-in method torch.sum}
      149    0.002    0.000    0.002    0.000 {built-in method torch.zeros}
        3    0.002    0.001    0.002    0.001 {built-in method torch.stft}
       37    0.000    0.000    0.002    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/functional.py:2447(batch_norm)
       72    0.002    0.000    0.002    0.000 {method 'reshape' of 'torch._C._TensorBase' objects}
      587    0.001    0.000    0.002    0.000 /usr/lib/python3.10/inspect.py:66(get_annotations)
      293    0.001    0.000    0.002    0.000 /usr/lib/python3.10/dataclasses.py:1187(fields)
       37    0.002    0.000    0.002    0.000 {built-in method torch.batch_norm}
      146    0.002    0.000    0.002    0.000 {method 'new_ones' of 'torch._C._TensorBase' objects}
     1786    0.001    0.000    0.002    0.000 /usr/lib/python3.10/enum.py:359(__call__)
       77    0.000    0.000    0.002    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/functional.py:1632(leaky_relu)
      146    0.002    0.000    0.002    0.000 {method 'scatter_' of 'torch._C._TensorBase' objects}
      587    0.001    0.000    0.002    0.000 /usr/lib/python3.10/inspect.py:612(unwrap)
      146    0.002    0.000    0.002    0.000 /usr/local/lib/python3.10/dist-packages/transformers/generation/logits_process.py:281(__call__)
  1124/10    0.001    0.000    0.002    0.000 /usr/lib/python3.10/copy.py:128(deepcopy)
        1    0.000    0.000    0.002    0.002 /usr/local/lib/python3.10/dist-packages/torchaudio/_backend/utils.py:117(load)
        1    0.000    0.000    0.002    0.002 /usr/local/lib/python3.10/dist-packages/torchaudio/_backend/soundfile.py:17(load)
        1    0.000    0.000    0.002    0.002 /usr/local/lib/python3.10/dist-packages/torchaudio/_backend/soundfile_backend.py:139(load)
       14    0.002    0.000    0.002    0.000 {built-in method torch.nn.functional.pad}
    22/10    0.000    0.000    0.001    0.000 /usr/lib/python3.10/copy.py:227(_deepcopy_dict)
      150    0.001    0.000    0.001    0.000 {method 'max' of 'torch._C._TensorBase' objects}
       77    0.001    0.000    0.001    0.000 {built-in method torch._C._nn.leaky_relu}
       32    0.001    0.000    0.001    0.000 {built-in method torch.einsum}
  438/146    0.001    0.000    0.001    0.000 /usr/local/lib/python3.10/dist-packages/transformers/utils/generic.py:398(__getitem__)
        7    0.001    0.000    0.001    0.000 {built-in method torch.arange}
        2    0.001    0.001    0.001    0.001 /usr/local/lib/python3.10/dist-packages/torchaudio/functional/functional.py:495(_create_triangular_filterbank)
        8    0.000    0.000    0.001    0.000 /usr/local/lib/python3.10/dist-packages/transformers/generation/configuration_utils.py:867(to_dict)
        1    0.001    0.001    0.001    0.001 {method 'log' of 'torch._C._TensorBase' objects}
     4434    0.001    0.000    0.001    0.000 {built-in method math.sqrt}
        1    0.000    0.000    0.001    0.001 /root/TTS/tts/layers/xtts/tokenizer.py:646(encode)
      146    0.001    0.000    0.001    0.000 {method 'masked_fill_' of 'torch._C._TensorBase' objects}
       76    0.000    0.000    0.001    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/utils/parametrizations.py:298(forward)
       16    0.000    0.000    0.001    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/modules/activation.py:291(forward)
        4    0.000    0.000    0.001    0.000 /root/TTS/tts/layers/xtts/perceiver_encoder.py:206(forward)
       16    0.001    0.000    0.001    0.000 {built-in method torch.sigmoid}
      146    0.001    0.000    0.001    0.000 {method 'ne' of 'torch._C._TensorBase' objects}
       76    0.001    0.000    0.001    0.000 {built-in method torch._weight_norm}
        1    0.000    0.000    0.001    0.001 /usr/local/lib/python3.10/dist-packages/soundfile.py:809(read)
     2373    0.001    0.000    0.001    0.000 /usr/lib/python3.10/inspect.py:2969(<genexpr>)
        4    0.001    0.000    0.001    0.000 {built-in method torch._C._nn.gelu}
        1    0.000    0.000    0.001    0.001 /usr/local/lib/python3.10/dist-packages/soundfile.py:1333(_array_io)
      146    0.000    0.000    0.001    0.000 /usr/local/lib/python3.10/dist-packages/transformers/utils/generic.py:424(to_tuple)
        1    0.000    0.000    0.001    0.001 /usr/local/lib/python3.10/dist-packages/transformers/generation/configuration_utils.py:927(from_model_config)
        3    0.000    0.000    0.001    0.000 /usr/local/lib/python3.10/dist-packages/transformers/generation/configuration_utils.py:844(to_diff_dict)
        1    0.001    0.001    0.001    0.001 {method 'encode' of 'tokenizers.Tokenizer' objects}
        1    0.001    0.001    0.001    0.001 /usr/local/lib/python3.10/dist-packages/soundfile.py:1346(_cdata_io)
      586    0.000    0.000    0.001    0.000 {built-in method builtins.all}
      460    0.001    0.000    0.001    0.000 /usr/local/lib/python3.10/dist-packages/transformers/configuration_utils.py:262(__getattribute__)
      596    0.001    0.000    0.001    0.000 {method 'unsqueeze' of 'torch._C._TensorBase' objects}
       18    0.000    0.000    0.001    0.000 /usr/local/lib/python3.10/dist-packages/einops/einops.py:459(reduce)
      146    0.000    0.000    0.001    0.000 /usr/local/lib/python3.10/dist-packages/transformers/generation/stopping_criteria.py:130(__call__)
      146    0.001    0.000    0.001    0.000 {method 'mul' of 'torch._C._TensorBase' objects}
      2/1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1022(_find_and_load)
      4/2    0.000    0.000    0.001    0.000 {built-in method builtins.hash}
        2    0.000    0.000    0.001    0.000 /usr/local/lib/python3.10/dist-packages/transformers/generation/configuration_utils.py:346(__hash__)
      2/1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
     1502    0.001    0.000    0.001    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/modules/module.py:2224(<lambda>)
      438    0.000    0.000    0.001    0.000 /usr/local/lib/python3.10/dist-packages/transformers/utils/generic.py:428(<genexpr>)
      586    0.001    0.000    0.001    0.000 /usr/local/lib/python3.10/dist-packages/transformers/utils/generic.py:411(__setitem__)
        1    0.000    0.000    0.001    0.001 /usr/local/lib/python3.10/dist-packages/transformers/generation/configuration_utils.py:349(__eq__)
       16    0.000    0.000    0.001    0.000 /usr/local/lib/python3.10/dist-packages/einops/einops.py:536(rearrange)
        4    0.000    0.000    0.001    0.000 /root/TTS/tts/layers/xtts/perceiver_encoder.py:108(forward)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:664(_load_unlocked)
      147    0.000    0.000    0.001    0.000 {built-in method builtins.any}
       50    0.000    0.000    0.001    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/modules/activation.py:100(forward)
     5416    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:877(exec_module)
     1174    0.000    0.000    0.001    0.000 /usr/lib/python3.10/inspect.py:277(isfunction)
       50    0.000    0.000    0.001    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/functional.py:1460(relu)
       96    0.000    0.000    0.001    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/modules/container.py:288(__getitem__)
        3    0.000    0.000    0.001    0.000 /usr/local/lib/python3.10/dist-packages/torchaudio/functional/functional.py:231(_get_spec_norms)
        1    0.001    0.001    0.001    0.001 {built-in method torch.cos}
        6    0.000    0.000    0.001    0.000 /usr/local/lib/python3.10/dist-packages/torch/jit/__init__.py:193(isinstance)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.10/warnings.py:96(_showwarnmsg)
        6    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torch/_jit_internal.py:1428(_isinstance)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/warnings.py:20(_showwarnmsg_impl)
       11    0.000    0.000    0.000    0.000 /usr/lib/python3.10/abc.py:117(__instancecheck__)
      150    0.000    0.000    0.000    0.000 {method 'squeeze' of 'torch._C._TensorBase' objects}
      292    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/transformers/generation/stopping_criteria.py:132(<genexpr>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/warnings.py:117(_formatwarnmsg)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/warnings.py:35(_formatwarnmsg_impl)
     1904    0.000    0.000    0.000    0.000 /usr/lib/python3.10/dataclasses.py:1202(<genexpr>)
       11    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.10/json/__init__.py:183(dumps)
        2    0.000    0.000    0.000    0.000 {built-in method torch.any}
    112/2    0.000    0.000    0.000    0.000 /usr/lib/python3.10/abc.py:121(__subclasscheck__)
    112/2    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/linecache.py:26(getline)
        1    0.000    0.000    0.000    0.000 {method 'sin' of 'torch._C._TensorBase' objects}
1585/1391    0.000    0.000    0.000    0.000 {built-in method builtins.len}
     1829    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/linecache.py:36(getlines)
       49    0.000    0.000    0.000    0.000 {built-in method torch.relu_}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/transformers/generation/utils.py:1289(_validate_model_kwargs)
      741    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/linecache.py:80(updatecache)
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.10/json/encoder.py:182(encode)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/transformers/generation/configuration_utils.py:798(from_dict)
        9    0.000    0.000    0.000    0.000 /root/TTS/tts/models/xtts.py:253(device)
       12    0.000    0.000    0.000    0.000 /root/TTS/tts/layers/xtts/perceiver_encoder.py:314(<lambda>)
        4    0.000    0.000    0.000    0.000 {method 'cpu' of 'torch._C._TensorBase' objects}
     1786    0.000    0.000    0.000    0.000 /usr/lib/python3.10/enum.py:678(__new__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.exec}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torch/backends/opt_einsum/__init__.py:1(<module>)
      228    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/torch/nn/utils/parametrize.py:268(<genexpr>)
       18    0.000    0.000    0.000    0.000 /usr/local/lib/python3.10/dist-packages/einops/einops.py:229(_apply_recipe)
